,Job Title,Company,Location,Salary,Job Description,Post Date,Extract Date
46,"Software Quality Engineer, Apple Pay",Apple,"New York, NY+1 location",N/A,The group is looking for an extraordinary software development engineer in quality with strong experience in building client and server test automation.,Posted30+ days ago,2022-05-05
47,new,Comcentric,"Remote in Syracuse, NY",N/A,"We are seeking Site Reliability Engineers (software engineers/developers being considered as well) for Permanent, Full Time Employment for our direct client -…",PostedJust posted,2022-05-05
48,Software Engineer - AMD Engineering,Goldman Sachs,"New York, NY 10282 (Battery Park area)+23 locations",N/A,"Excellent object oriented or functional analysis and design skills.
Goldman Sachs Engineers are innovators and problem-solvers, building solutions in risk…",Posted30+ days ago,2022-05-05
49,Software Engineer,Xandr,"New York, NY+1 location",Estimated $111K - $141K a year,"In your day to day you are well organized and able to effectively prioritize tasks, deliver high-quality code, and participate in your team's agile development…",Posted15 days ago,2022-05-05
50,Software Engineer,Valon Mortgage,"New York, NY",Estimated $112K - $142K a year,"2+ years of software engineering experience building quality software applications at scale.
Great at building scalable systems from scratch with a fast…",Posted30+ days ago,2022-05-05
51,Lead Software Engineer,AccountantsWorld,"Hauppauge, NY 11788+1 location",Estimated $109K - $138K a year,"Location: Hauppauge,…",Posted30+ days ago,2022-05-05
52,Software Engineer (Front End),Hearst Media Services,"New York, NY 10019 (Midtown area)+1 location",Estimated $123K - $156K a year,"We’re building an open, service-oriented platform driven by APIs, and belief in crafting simple, elegant solutions to complex technological and product problems…",Posted22 days ago,2022-05-05
53,new,Zebra Technologies,"Holtsville, NY 11742",N/A,"Runs software tests designed by more experienced engineers.
Designs, develops, and tests on a variety of software assignments that constitute a portion of a…",Posted6 days ago,2022-05-05
54,Software Engineer,IPVideo,"Bay Shore, NY",Estimated $95.6K - $121K a year,"Design/code/test/maintain software with a team or individually.
IPVideo is currently seeking a Software Engineer to become part of a team which is responsible…",Posted30+ days ago,2022-05-05
55,new,Change Healthcare,"Remote in New York, NY+2 locations",N/A,Typically requires a minimum of 5 years of related experience with a Bachelor’s degree; or 3 years and a Master’s degree; or a PhD without experience; or…,Posted7 days ago,2022-05-05
56,"Software Engineer, Back End (Remote-Eligible)",Capital One - US,"Remote in New York, NY 10011",N/A,"Collaborate with digital product managers, and deliver robust cloud-based solutions that drive powerful experiences to help millions of Americans achieve…",Posted12 days ago,2022-05-05
57,"Machine Learning Engineer, Creator Studio",Spotify,"Remote in New York, NY+5 locations",Estimated $124K - $157K a year,"You preferably have experience with data pipeline tools like Apache Beam and cloud platforms like GCP or AWS.
Global parental leave, six months off - fully paid…",Posted30+ days ago,2022-05-05
