,Job Title,Company,Location,Salary,Job Description,Post Date,Extract Date
112,UX Researcher,Corporate Insight,"Hybrid remote in New York, NY 10170",N/A,"Looking for someone who has been doing UX research, and is looking to take their skills to the next level.
Moderating user interviews for numerous projects.",Posted9 days ago,2022-05-05
113,UX Researcher,"Morgan & Morgan, P.A.","Brooklyn, NY",N/A,"You will do so by conducting primary research, exploring the behaviors and motivations of our users through methods like field visits, user interviews, surveys,…",Posted28 days ago,2022-05-05
114,new,Panorama Education,"Temporarily Remote in New York, NY",N/A,"You'll work alongside our Product Design, Product Management, and Research/Data Science teams to drive highly actionable and meaningful research insights to…",Posted5 days ago,2022-05-05
115,UX Researcher,Expo,"Remote in New York, NY 10001",N/A,"As a UX Researcher, IC you will work closely with the product managers, designers, engineers, product marketers and other cross-functional leaders to identify…",Posted30+ days ago,2022-05-05
116,new,UNIVERSAL Technologies,"Brooklyn, NY 11201",N/A,"Applicants should be prepared for 100% onsite work in Brooklyn, NY.
Position: *The selected candidate will work will work closely with Service and UX Designers,…",Posted2 days ago,2022-05-05
117,"Senior UX Researcher, Email",Twilio,"Remote in New York, NY",N/A,"This user researcher will partner closely with the product team to shape the roadmap for a critical product in Twilio's customer engagement suite, deeply…",Posted13 days ago,2022-05-05
118,User Researcher,Understood,"New York, NY",N/A,"You will be reporting to the Associate Director, User Research on the Product Team, while being responsible for planning and managing your own research projects…",Posted20 days ago,2022-05-05
119,UX Researcher,Braze,"New York, NY",N/A,"Braze delivers customer experiences across email, mobile, SMS, and web.
We are searching for someone who can help to identify and understand the questions that…",Posted30+ days ago,2022-05-05
120,UX Researcher,Ribbon,"Remote in New York, NY 10013",N/A,"You will get an opportunity to speak to all industry participants, develop an understanding of their unique and collective needs and lead us forward to a…",Posted30+ days ago,2022-05-05
121,Senior UX Researcher,Yext,"New York, NY 10010 (NoMad area)",N/A,Yext needs an experienced Senior UX Researcher with 5+ years of design research experience to augment our Product UX team.,Posted29 days ago,2022-05-05
122,UX Researcher,"Morgan & Morgan, P.A.","Brooklyn, NY",N/A,"You will do so by conducting primary research, exploring the behaviors and motivations of our users through methods like field visits, user interviews, surveys,…",Posted28 days ago,2022-05-05
123,User Experience Researcher,Interactive Brokers,"New York, NY",N/A,"The position is well-suited for an organized individual who is a curious and critical thinker, a proactive problem solver and a strong communicator.",Posted30+ days ago,2022-05-05
124,"UX Researcher, Growth",Noom US,"New York, NY 10001 (Chelsea area)",N/A,"As a Researcher on our UX Research team, you will collaborate with our large cross-functional team of product managers, designers, and data scientists to…",Posted30+ days ago,2022-05-05
125,UX Strategy and Research Design,Bosch Group,"Fairport, NY 14450",N/A,"Fairport, NY is the headquarters for the Bosch Security Systems sales organization in the United States and serves as the primary site for research and…",Posted30+ days ago,2022-05-05
126,Senior User Researcher,Current,"New York, NY 10011 (Chelsea area)",N/A,"As the first in-house user researcher at Current, you'll play a critical part in establishing the user research function at the company.",Posted30+ days ago,2022-05-05
127,Senior UX Researcher,Sanity.io,"Remote in New York, NY",N/A,"Sanity.io is the fastest, most flexible platform for delivering content to digital devices and products.
That trust is based on our product's ability to quickly…",Posted30+ days ago,2022-05-05
128,Senior UX Researcher,AiCure,"Remote in New York, NY",N/A,"As senior UX researcher reporting to the VP of product management you will conduct meaningful research to reveal what the patients, clinicians and customers we…",Posted30+ days ago,2022-05-05
129,Lead User Researcher,TelTech,"Remote in New York, NY",N/A,"Over time, you'll help build a User Research discipline that partners closely with Product and Design leadership to define product strategy and key experience…",Posted16 days ago,2022-05-05
130,new,Wrapbook,"Remote in New York, NY",N/A,This is the role for you if you are a talented customer-obsessed user experience Researcher who wants to build and grow a program to help Wrapbook deeply…,PostedToday,2022-05-05
131,UX Analyst,The Arena Group,"Remote in New York, NY",N/A,"In this role you will adapt to the company's business model, and deliver product solutions that combine qualitative insights with web analytics, quantitative…",Posted30+ days ago,2022-05-05
132,Senior UX Researcher,WorkFusion,"New York, NY 10005 (Financial District area)",N/A,"As a world leader in process automation for banking, financial services, and insurance, we offer an unrivaled digital workforce platform that enables…",Posted30+ days ago,2022-05-05
133,Lead User Experience Researcher,Innovato Solutions.com,"New York, NY",N/A,We are looking for someone who has experience delivering actionable insights to innovate the desktop and mobile user experience through the design and execution…,EmployerActive 4 days ago,2022-05-05
134,Senior UX Researcher,RudderStack,"Remote in New York, NY",N/A,"4 years + working as a user experience researcher on digital products.
We are building a customer data platform (CDP) on the customer's own data warehouse.",Posted30+ days ago,2022-05-05
135,Senior UX Researcher,Sanity.io,"Remote in New York, NY",N/A,"Sanity.io is the fastest, most flexible platform for delivering content to digital devices and products.
That trust is based on our product's ability to quickly…",Posted30+ days ago,2022-05-05
136,Senior UX Researcher,RudderStack,"Remote in New York, NY",N/A,"4 years + working as a user experience researcher on digital products.
We are building a customer data platform (CDP) on the customer's own data warehouse.",Posted30+ days ago,2022-05-05
